"","Author","Year","Title","Journal","Volume","Issue","Pages"
"68715","Maier, C., Watremez, P., Taviani, M., Weinbauer, M. G. and Gattuso, J. P.",2012,"Calcification rates and the effect of ocean acidification on Mediterranean cold-water corals","Proceedings of the Royal Society B-Biological Sciences","279"," 1734 ","1716-1723"
"68957","Lefevre, T., de Roode, J. C., Kacsoh, B. Z. and Schlenke, T. A.",2012,"Defence strategies against a parasitoid wasp in Drosophila: fight or flight?","Biology Letters","8"," 2 ","230-233"
"78573","Bruggeman, D. J., Wiegand, T., Walters, J. R. and Taboada, F. G.",2014,"Contrasting the ability of data to make inferences regarding dispersal: case study of the Red-cockaded woodpecker (Picoides borealis)","Landscape Ecology","29"," 4 ","639-653"
"35243","Sanchez, J. A. and Lasker, H. R.",2004,"Do multi-branched colonial organisms exceed normal growth after partial mortality?","Proceedings of the Royal Society B-Biological Sciences","271"," ","S117-S120"
"61784","Bazilchuk, N.",2010,"Pacific oysters invade Norway","Frontiers in Ecology and the Environment","8"," 3 ","117-117"
"65532","Engler, R., Randin, C. F., Thuiller, W., Dullinger, S., Zimmermann, N. E., Araujo, M. B., Pearman, P. B., Le Lay, G., Piedallu, C., Albert, C. H., Choler, P., Coldea, G., De Lamo, X., Dirnbock, T., Gegout, J. C., Gomez-Garcia, D., Grytnes, J. A., Heegaard, E., Hoistad, F., Nogues-Bravo, D., Normand, S., Puscas, M., Sebastia, M. T., Stanisci, A., Theurillat, J. P., Trivedi, M. R., Vittoz, P. and Guisan, A.",2011,"21st century climate change threatens mountain flora unequally across Europe","Global Change Biology","17"," 7 ","2330-2341"
"69212","Keshkamat, S. S., Kooiman, A., van Maarseveen, M. F. A. M., van der Veen, A. and Zuidgeest, M. H. P.",2012,"A boundary object for scale selection - Moderating differences and synergising understanding","Ecological Economics","76"," ","15-24"
"77463","McFrederick, Q. S., Mueller, U. G. and James, R. R.",2014,"Interactions between fungi and bacteria influence microbial community structure in the Megachile rotundata larval gut","Proceedings of the Royal Society B-Biological Sciences","281"," 1779 ",""
"43658","Kainer, K. A., Schmink, M., Covert, H., Stepp, J. R., Bruna, E. M., Dain, J. L., Espinosa, S. and Humphries, S.",2006,"A graduate education framework for tropical conservation and development","Conservation Biology","20","1","Mar-13"
"43320","Lovett, G., Cole, J. and Pace, M.",2006,"Is net ecosystem production equal to ecosystem carbon accumulation?","Ecosystems","9","1","152-155"
"45691","van Grunsven, R. H. A., van der Putten, W. H., Bezemer, T. M., Tamis, W. L. M., Berendse, F. and Veenendaal, E. M.",2007,"Reduced plant-soil feedback of plant species expanding their range as compared to natives","Journal of Ecology","95","5","1050-1057"
"76960","Sanders, D., Jones, C. G., Thebault, E., Bouma, T. J., van der Heide, T., van Belzen, J. and Barot, S.",2014,"Integrating ecosystem engineering and food webs","Oikos","123"," 5 ","513-524"
"66627","Abt, K. M.",2011,"The Wolf's Tooth","Ecological Economics","71"," ","221-221"
"39017","Pike, T. W. and Petrie, M.",2005,"Offspring sex ratio is related to paternal train elaboration and yolk corticosterone in peafowl","Biology Letters","1","2","204-207"
"69187","King, A. W., Hayes, D. J., Huntzinger, D. N., West, T. O. and Post, W. M.",2012,"North American carbon dioxide sources and sinks: magnitude, attribution, and uncertainty","Frontiers in Ecology and the Environment","10"," 10 ","512-519"
"39878","Kaye, J. P., Hart, S. C., Fule, P. Z., Covington, W. W., Moore, M. M. and Kaye, M. W.",2005,"Initial carbon, nitrogen, and phosphorus fluxes following ponderosa pine restoration treatments","Ecological Applications","15","5","1581-1593"
"40314","Gosler, A. G., Higham, J. P. and Reynolds, S. J.",2005,"Why are birds' eggs speckled?","Ecology Letters","8","10","1105-1113"
"54726","Otto, S. P.",2009,"The Evolutionary Enigma of Sex","American Naturalist","174"," ","S1-S14"
"70342","Deere, K. A., Grether, G. F., Sun, A. D. and Sinsheimer, J. S.",2012,"Female mate preference explains countergradient variation in the sexual coloration of guppies (Poecilia reticulata)","Proceedings of the Royal Society B-Biological Sciences","279"," 1734 ","1684-1690"
"51526","Kelly, C. D.",2008,"Sperm investment in relation to weapon size in a male trimorphic insect?","Behavioral Ecology","19"," 5 ","1018-1024"
"74851","Germain, R. M., Johnson, L., Schneider, S., Cottenie, K., Gillis, E. A. and MacDougall, A. S.",2013,"Spatial Variability in Plant Predation Determines the Strength of Stochastic Community Assembly","American Naturalist","182"," 2 ","169-179"
"46964","Michael, J. A.",2007,"Episodic flooding and the cost of sea-level rise","Ecological Economics","63"," 1 ","149-159"
"51247","Lindenmayer, D. B., Cunningham, R. B., MacGregor, C., Crane, M., Michael, D., Fischer, J., Montague-Drake, R., Felton, A. and Manning, A.",2008,"Temporal Changes in Vertebrates during Landscape Transformation: A Large-Scale ""Natural Experiment''","Ecological Monographs","78"," 4 ","567-590"
